"Knowledge","Interest","Algeria","Argentina","Australia","Belgium","Bosnia.and.Herzegovina","Brazil","Cameroon","Chile","Colombia","Costa.Rica","Croatia","Ecuador","England","France","Germany","Ghana","Greece","Honduras","Iran","Italy","Ivory.Coast","Japan","Mexico","the.Netherlands","Nigeria","Portugal","Russia","South.Korea","Spain","Switzerland","United.States","Uruguay","China","India","Thailand","Turkey","Cuba","Ethiopia","Vietnam","Ireland","Gender","Age","Income","Education","Location","ID"
"Intermediate","Some",,"3","5","4",,"3",,"4",,"4",,,"4","3","5",,,,,"5","3","1","5",,,"1","3",,,,"5","2","4","5","4",,,"3",,"4","Male","18-29","$100,000 - $149,999","Less than high school degree","West South Central",3308895255
"Novice","Some",,,"3","3",,"3",,,,,,,"4","4","4",,"4",,,"5",,"3","5",,,,,,"3",,"4",,"2","2","4",,,,,"4","Male","18-29","$100,000 - $149,999","Some college or Associate degree","West South Central",3308891308
"Intermediate","A lot","3","4",,"3",,"4","5","5","4","5","3","3","3","4","2","4","4","3","4","5",,"3","4","2",,"3","2","4","4","2","3",,"3","5","5",,"4","5","4","3","Male","30-44","$50,000 - $99,999","Graduate degree","Pacific",3308891135
"Novice","Not much",,"3",,"3",,,"3","3","2","4",,,"3","3","3",,"4",,"3","3",,"3","4","3",,"4","3","3","3","3","3",,"4","3","2","3","4",,"4","3","Male","45-60","$0 - $24,999","Less than high school degree","New England",3308879091
"Novice","Not much",,,,,,,,,,,,,"2","3","3",,,,,"4",,"2","4",,,,,,"3",,"3",,"3","3","3",,"3",,"3",,"Male","30-44","$25,000 - $49,999","High school degree","Pacific",3308871671
"Advanced","A lot",,"4","3","5","3","5",,"4","4","4","3","4","5","5","5",,"5",,"4","5",,"5","5","4",,"4","5","4","5",,"2","3","3","5","5","5","5",,,"3","Female","30-44","$50,000 - $99,999","Graduate degree","East North Central",3308871406
"Novice","Some",,"3",,,,,,,,,,,,,,,,,,"3",,"3","3",,,,,,"3",,"4",,"3","2",,,,,"3",,"Male","45-60",,"High school degree","West South Central",3308866182
"Advanced","A lot",,"5","4","3",,"4",,"4","4","4",,"3","3","5","5",,"4","3",,"5",,"4","4","4",,"4","3","3","5","5","5","3","4","4","3","3","5",,"3","4","Male","45-60","$0 - $24,999","Some college or Associate degree","South Atlantic",3308857114
"Novice","Not much",,,,,,,,,"4",,,,"3",,"4",,"4",,,"4",,"3","4",,,,,,,,"4",,"3","4","3",,"4",,"4","4","Female","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic",3308856510
"Novice","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308846915
"Advanced","A lot",,,,,,"3",,,,,,,"2","5","2",,"4",,,"5",,"5","4",,,,"2","3","3",,"5",,"4","4","4",,"3","3","3","3","Male","30-44","$50,000 - $99,999","Bachelor degree","Mountain",3308845993
"Novice","Some",,,,,,,,,,,,,"2","4",,,,,,"3",,"3","3",,,,,"2","3",,"4",,"3","2","3","2",,,"3","3","Male","> 60","$0 - $24,999","Some college or Associate degree","South Atlantic",3308837085
"Intermediate","A lot","3","3","2","4","4","5","4","4","4","3","2","5","5","4","4","3","5","3","4","4",,"5","4","4",,,"1","3","4","3","3","3","4","5","5","5",,"3",,,"Male","18-29","$25,000 - $49,999","High school degree","Middle Atlantic",3308834022
"Intermediate","Some",,,,"5",,"3",,,,,,,"2","5","2",,"2",,,"5",,"4","3",,,"3",,"3","5","2","3",,"4","1","4",,,,"3","2","Female","30-44",,"Bachelor degree","Middle Atlantic",3308832927
"Intermediate","Some",,,,,,"3",,,,,,,"3","4","3",,"4",,,"4",,"4","4",,,,"2","3","3","3","3",,"3","4","4",,"4","4","4","3","Female","30-44","$50,000 - $99,999","Graduate degree","Pacific",3308823251
"Intermediate","Some",,,,,,,,,,,,,,,,,,,"3","4",,"4","5",,,"2",,,,,"3",,,"3","5",,,,"3",,"Female","30-44","$25,000 - $49,999","Some college or Associate degree","Pacific",3308819174
"Novice","Not at all",,,,,,,,,,,,,"3","4","4",,"3",,,"4",,,"4",,,,,,,,"4",,"4",,,,,,,"3","Male","30-44","$50,000 - $99,999","Some college or Associate degree","Pacific",3308816847
"Novice","Not much",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308816305
"Novice","Not much",,,,,,,,,,,,,"3",,"3",,"3",,,"5",,,"3",,,,,,,,"4",,,,,,,,,,"Male","> 60","$0 - $24,999","Some college or Associate degree","Middle Atlantic",3308815266
"Novice","Some",,,,,,,,,,,,,"3","2","4",,"2",,,,,"3",,,,,"4","4",,,"3",,"3",,,,,,,,"Male","45-60",,"Some college or Associate degree","Mountain",3308813105
"Intermediate","A lot","4","3","3",,,"3",,,"1","4","3",,"4","3","4",,"4","4",,"4",,"5","5",,,,"5",,"4","3","4",,"5","4","4","4",,,,,"Male","18-29","$0 - $24,999","Bachelor degree","East North Central",3308809158
"Novice","Some",,,,,,,,,,,,,"3",,"4",,"4",,,"5",,"3","5",,,,"2","2","2",,"4",,"4","4","5",,,,"1","2","Male","18-29","$0 - $24,999","Some college or Associate degree","Mountain",3308805258
"Intermediate","Not much",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308804182
"Novice","Some",,,,,,,,,,,,,"3","3","5",,"3",,,"2",,,"4",,,,,,,,"4",,,"1",,,,,,,"Male","30-44","$25,000 - $49,999","Some college or Associate degree","East South Central",3308800049
"Novice","Not at all",,,"1",,,,,,,,,,,"4","5",,,"1",,"5",,"4","4",,,,"1",,"4",,"3",,"4","3","5",,,,"5","4","Male","18-29","$150,000+","Some college or Associate degree","West North Central",3308799446
"Intermediate","Some",,"3",,,,"3",,"3",,,,,"3","3","4",,"2",,,"5",,"4","5",,"1",,"1",,"3","3","5","1","5","2","1",,,,"1","3","Male","> 60","$100,000 - $149,999","Graduate degree","East North Central",3308793678
"Intermediate","Not much",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308792170
"Intermediate","A lot","3","3","3","3","4","4",,"4","3","4","4","4","3","4","3",,"4",,"3","3",,"2","4","4",,,"3","3","3","3","3",,"2","4","5",,"4","4","3","3","Male","30-44","$50,000 - $99,999","Some college or Associate degree","Mountain",3308784370
"Intermediate","Some",,,"4","4",,,,,,,,,"4","4","4",,"5",,,"5",,"4","2","3",,"4","2",,"4","4","4",,"3","4","3",,,,"3","4","Male","> 60","$50,000 - $99,999","Graduate degree","New England",3308779771
"Intermediate","Some",,,,,,,,,,"3",,,"2","3","2","3","2",,,"4",,"3","4",,,,,,"4",,"4",,"2","2","5",,"3",,"3","4","Female","30-44","$50,000 - $99,999","Graduate degree","South Atlantic",3308777531
"Intermediate","Some",,"3",,,,"4",,"4","4","4",,"3","3","3","5",,"3","4",,"5","3","5","5","4",,"3",,"4","5","4","4",,"5","4","4","3","4",,"3","4","Female","30-44","$25,000 - $49,999","Some college or Associate degree","West South Central",3308765568
"Intermediate","Not much",,,,,,,,,,,,,,,,,,,,,"3","4","3","3","3","3","3","3",,"3","3","3","3","3","3",,,"3","2","3",,,,,,3308761752
"Advanced","A lot",,,,,,,,"4","4",,,,"3","5","4",,"3",,,"5",,,"4",,,,,,"3",,"5",,,,,,"4",,"4",,"Male","> 60","$150,000+","Some college or Associate degree","New England",3308760375
"Novice","Not much",,,,,,,,,,,,,"3","3","3",,"4",,,"4",,"4","3",,,,,,,,"3",,"3","2","5",,,,"4","3","Male","18-29","$25,000 - $49,999","Some college or Associate degree","East North Central",3308756665
"Novice","Some",,,"3",,,,,,,,,,,,,,"3",,,"3",,"3","3",,,,,,,,"5",,,"2",,,,,,,"Male","30-44","$25,000 - $49,999","High school degree","Pacific",3308755584
"Intermediate","Some",,,,,,"3",,,,,,,"3","3","4",,"3",,,"3",,"4","4",,,,,"3",,,"4",,"4","3","3",,"4",,,"3","Male","45-60","$25,000 - $49,999","Bachelor degree","East North Central",3308755566
"Intermediate","Not much",,,"3",,,,,,,,,,"3","4","5",,,,,"4",,,"2",,,,,"1",,,"5",,"4","2",,,,,,"3","Female","45-60","$0 - $24,999","Bachelor degree","East North Central",3308750909
"Intermediate","Not much",,"4","4","5",,"4","3","3","3","4",,"3","4","5","4",,"2",,"3","5",,"5","5","4",,"5","1","2","4","4","4",,"3","3",,,"4",,,"4","Male","18-29","$150,000+","Some college or Associate degree","South Atlantic",3308750030
"Intermediate","Not much",,,"3",,,,,,"3",,,,"2","1","1",,"4",,,"4",,"4","4",,,"3",,,"4",,"3",,"5","3","4",,"3",,,"2","Male","45-60","$50,000 - $99,999","Bachelor degree","Middle Atlantic",3308749999
"Intermediate","A lot",,,,,,,,,"4",,,,"2","5","3",,"4",,,"4",,"4","3",,,,,,"4",,"3",,"3","4","3",,"4","3","3","1","Female","45-60","$150,000+","Some college or Associate degree","Middle Atlantic",3308749256
"Intermediate","Not much",,,,,,"3",,,,,,,,,,,,,,"4",,,"5",,,,,,,,"3",,"2","5","3",,,,,,"Male","30-44","$100,000 - $149,999","Graduate degree","Pacific",3308747452
"Novice","Not at all",,,,,,,,,,,,,"3",,,,,,,"3",,"3",,,,,,,,,"4",,"3",,,,,,,,"Male","> 60","$0 - $24,999","Some college or Associate degree","Pacific",3308746473
"Novice","Some",,,,,,,,,,,,,,,,,,,,"4",,,"5",,,,,,,,"4",,"3",,,,,,,,"Female","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic",3308744587
"Advanced","A lot","5","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","5",,"5","5","5",,"4","4","5","5","4","5","4","4","4","4","5","4","5","5","4","Male","> 60","$150,000+","High school degree","South Atlantic",3308742865
"Intermediate","Some","3",,"4","4",,,,,,,,,"4","4","4",,"3",,,"5",,"4","4","4","2",,,"1","4","4","3",,"3","2","4","4","3",,"1","3","Male","18-29","$0 - $24,999","Bachelor degree","West South Central",3308740007
"Novice","Some",,"5",,,,"2",,,,,,,"1","3","1",,"4",,,"5",,"4","5",,,,,,"3",,"3",,"5","2","4",,,,"4","4","Female","45-60",,"Bachelor degree","West North Central",3308739057
"Intermediate","A lot",,,"3","4","1","3",,"4",,"5",,,"3","5","3",,,"4",,"5",,"4","4","4",,"4","4",,"4","3","3","3","4","4","4","3","4","4","4",,"Female","45-60",,"Bachelor degree","South Atlantic",3308738718
"Intermediate","Not much",,,,,,"4",,,,,,,"3",,"3",,"5",,,"5",,,,,,,,,,,"3",,,,,,,,,"3","Female","45-60",,"Some college or Associate degree","New England",3308733172
"Novice","Some",,,,,,,,,,,,,,"3","3",,"3",,,"3",,,,,,,,"3",,,"3",,,,,,,,,,"Male","45-60","$50,000 - $99,999","Graduate degree","New England",3308724205
"Novice","A lot",,,,"3",,,,,"3",,,,"3","3","1",,"3",,,"4",,"3","3",,,,"2",,"4",,"4",,"3","3","2",,"3",,"2",,"Female","45-60",,"Graduate degree","South Atlantic",3308721608
"Novice","Some",,,,,,,,,,,,,"4","5","3","4","4",,,"5",,"2","5","5",,,,,"5",,"5",,"4",,,,,,,,"Female","18-29","$50,000 - $99,999","Some college or Associate degree","East North Central",3308720038
"Novice","Not at all",,,,,,,,,,,,,"1","3","3",,"5",,,"5",,,"3",,,,,,,,"5",,"4",,"3","3",,,"3",,"Male","45-60","$50,000 - $99,999","High school degree","New England",3308719922
"Advanced","A lot",,"3","3","3",,"4",,,"3",,,,,"3","2",,"5",,,"5",,"5","5",,,"4","3","4","5","3","3",,"4","5","5",,"4","5","4","3","Male","45-60","$25,000 - $49,999","Bachelor degree","Mountain",3308719451
"Intermediate","Some",,,"4","3",,,,,,,,,"1","3","2",,"4",,,"5",,"5","5",,,,,"4","4",,"3",,"4","4","4",,,,"4","2","Female","18-29",,"Bachelor degree","South Atlantic",3308718419
"Novice","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,"5","Female","45-60","$0 - $24,999","Some college or Associate degree","Mountain",3308718351
"Novice","A lot",,,,"3",,,,,,,,,"3","4","2",,,,"4","3",,"3","5",,,,,,,,"3",,"3","4","3",,,"4",,,"Female","18-29","$50,000 - $99,999","Some college or Associate degree","East South Central",3308717519
"Novice","Some",,,"3",,,,,,,,,,"3","2",,,"3",,"5","3",,,"4",,,,,,,,"4",,"2","5",,,,,,,"Female","18-29",,"Some college or Associate degree","Pacific",3308716587
"Novice","Not much",,,,,,,,,,,,,"3","4","3",,,"3",,"4",,"4","2","4",,,,,"3",,"3",,"4","1","2",,"3",,,"3","Female","18-29","$150,000+","Bachelor degree","East North Central",3308716054
"Intermediate","Some",,,"3",,,,,"4",,"4",,"4","3","3","3","3","4","3",,"4",,"3","4",,,,"3",,"4",,"2",,"3","5","5","3","3","3",,"3","Female","18-29","$25,000 - $49,999","Bachelor degree","New England",3308715976
"Novice","Some",,,,,,"4",,,,"3",,,"3","4","3",,"3",,,"4",,"5","4",,,,,,"4",,"5",,"4","3","3",,,,,"3","Female","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic",3308715946
"Novice","A lot",,,,,,,,,,,,,"4","4",,,,,,"5",,"3","5",,,,,,"4",,"4",,"4",,,,,,,"4","Female","18-29","$25,000 - $49,999","Some college or Associate degree","Mountain",3308715331
"Novice","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308715206
"Novice","Some",,,,,,,,,,,,,"4","5","3",,"4",,,"5",,"5","4",,,,"3","4","4",,"4",,"5","3","4",,"4",,"4","4","Male","> 60","$100,000 - $149,999","Graduate degree","South Atlantic",3308712364
"Intermediate","Some",,,,"4",,"4",,"3",,"3",,"3","3","4","4",,"4",,,"5",,"4","3",,,,,,,"4","4",,"4","3","3",,,,,"3","Female","18-29","$50,000 - $99,999","Some college or Associate degree","West North Central",3308710220
"Novice","Some",,"3","4",,,"3",,"3","3","3","4",,"3","3","4",,"4",,"2","4","3","4","4","4",,"3","3","3","3",,"5",,"3","4","3","3","3",,"3","4","Male","45-60",,"High school degree","Middle Atlantic",3308708004
"Novice","Some",,,,,,,,,,,,,"3","3","3",,"3",,,"4",,,"4",,,"3",,,"3",,"4",,"4","1","1",,,,,"3","Female","30-44","$50,000 - $99,999","Some college or Associate degree","East North Central",3308705135
"Novice","Not much",,,,,,,,,,,,,,"3","3",,,,,"5",,"3","4",,,,,,,,"5",,"4","1",,,,,,,"Male","45-60","$50,000 - $99,999","Some college or Associate degree","East North Central",3308702964
"Intermediate","A lot",,"2",,,,"3",,"3",,"3",,,,"3","3",,"3",,,"3",,"4","5",,,,,,"4",,"3","3","5","4","5","3",,,"3",,"Male","18-29","$25,000 - $49,999","High school degree","Pacific",3308702870
"Intermediate","Some",,,,,,,,,,,,,"3",,"4",,,,,,,,"4","5",,,,,"4",,"5",,,"4",,,,,"3",,"Female","45-60","$0 - $24,999","Some college or Associate degree","Mountain",3308702323
"Intermediate","A lot","3","4","4","3",,"4",,"4",,"5",,"3","3","4","4",,"5","3","3","5",,"3","5",,,"3","4",,"3","3","3",,"3","5","3","4","4","4",,"3","Female","45-60",,"Bachelor degree","East North Central",3308702075
"Novice","Some",,,"3","3",,,,,,,,,"3","3","3",,"3",,,"4",,"2","2",,,,,,,"3","1",,"3","1","3",,,,,"4","Male","45-60","$150,000+","Graduate degree","East North Central",3308698389
"Advanced","A lot",,"4","3","3",,"4",,"4","4","4",,"4","2","3","3",,"3","4","4","4","3","5","5","3",,"3","3","4","4","3","4",,"5","4","5","3","4","3","5","4","Male","45-60","$50,000 - $99,999","Some college or Associate degree","Mountain",3308697922
"Novice","Some",,,,,,,,,,,,,"4","4","3",,"4",,,"4",,"3","5",,,"3","3",,"3",,"5",,"5","2","2",,,,,"4","Female","45-60","$50,000 - $99,999","Some college or Associate degree","East North Central",3308697837
"Advanced","Not much",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308697765
"Intermediate","Not much",,,"1",,"3",,,,"3",,,,"3",,"3",,,,,,,,"3",,,,,,,,"5",,,,,,"3",,,,"Female","18-29",,,"South Atlantic",3308696221
"Advanced","A lot",,,"4",,,,,,,,,,"2","5",,,"4",,,"5",,,"4",,,,,,"4",,"4",,,,,"5",,,,"4","Female","18-29","$50,000 - $99,999","Bachelor degree","West South Central",3308696186
"Intermediate","A lot",,,"3","2","2",,,"2","3",,,,"4","3","5",,"4","4","4","4",,"4","5",,,,"4",,"3","3","4",,"4","5","5",,"3",,,"3","Male","18-29","$0 - $24,999","High school degree","South Atlantic",3308694655
"Intermediate","A lot","3","3","2","3",,"3",,"3","3","3",,"3","3","4","3","3","4",,"4","5",,"2","5","3",,"3","3",,"3","3","4","3","2","5","5","5","4","5","4","3","Female","30-44","$50,000 - $99,999","Bachelor degree","Middle Atlantic",3308693743
"Novice","Not at all",,,,,,,,,,,,,"2","1","3",,,,,"4",,"3","1",,,,,,,,"5",,"3","2",,,"3",,,,"Male","45-60",,"Bachelor degree","South Atlantic",3308693243
"Intermediate","A lot",,,,,,,,,,,,,"3","4","4",,"4",,,"5",,"3","4",,,,,,"4",,"4",,"4","4",,,,,,"3","Male","30-44","$100,000 - $149,999","Bachelor degree","East North Central",3308691887
"Intermediate","A lot","3","3","3","2",,"3",,"3","3","3","3","3","3","5","3","3","3","3","2","5",,"5","5",,"3","3","3","5","5","3","5","3","5","4","5","3","5",,"2","3","Male","18-29","$50,000 - $99,999","Bachelor degree",,3308691132
"Novice","Not much",,,,,,,,,,,,,"3","3","3",,"3",,,"4","3","3","5","3",,,"3",,"3","3","4",,"3","3","3",,"3",,,"3","Female","45-60",,"Some college or Associate degree","East North Central",3308690549
"Intermediate","A lot",,"5","3",,,"5",,"3","5","4","4","3","3","4","3",,"4",,,"5",,"5","4",,,"3","3","3","5",,"5",,"5","3","4",,"5",,"3","4","Female","45-60","$150,000+","Bachelor degree","Middle Atlantic",3308690171
"Intermediate","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308689431
"Novice","Not much",,,,,,,,,,,,,"2","3","2",,"2",,,"5",,"3","5",,,,,,"4",,"2",,"3",,,,"3",,,"2","Male","30-44","$50,000 - $99,999","Graduate degree","East North Central",3308689374
"Intermediate","Some",,,"3",,,,,,,,,,"3",,,,"3",,,"3",,"3","3",,,,,"3",,,"5",,"3","3","3",,"3",,,,"Male","> 60","$25,000 - $49,999","Some college or Associate degree","South Atlantic",3308689072
"Advanced","A lot",,,"3",,,,,,,,,,"2","4","3",,"4",,"3","5",,"4","5",,,,"3","4","4",,"2",,"4","5","5",,"4","4",,"3","Female","30-44","$150,000+","Bachelor degree","South Atlantic",3308687767
"Novice","A lot",,,,"5","4",,,,,,"4",,"2","3","5",,"4",,,"5",,"5","3","4",,,"3","2","3","4","3",,"5","5","4","3",,"4","5","3","Male","> 60","$100,000 - $149,999","Graduate degree","Pacific",3308687706
"Novice","Not at all","2","2","4","3","2","4","2","1","2","3","3","2","5","4","3","4","4","1","1","5","2","4","2","4","3","2","4","3","2","4","5","3","2","2","4","3","1","2","2","3","Male","45-60","$50,000 - $99,999","Bachelor degree","South Atlantic",3308686878
"Intermediate","Some",,"2","2",,,"3",,,,,,,"3","5","3",,"4",,,"4",,"2","5",,,"4","4","3","4","4","5",,"4","1","3",,"3",,,"3","Male","> 60","$150,000+","Graduate degree","West South Central",3308684357
